movie_id,average_sentiment,neg_sentiment,neu_sentiment,pos_sentiment,genres,revenue,runtime,cluster
14570672,0.8281,0.042,0.897,0.061,"Drama, Melodrama, Coming of age, Political drama",,97.0,2
25098041,-0.9892,0.101,0.835,0.065,War film,,100.0,3
1424603,0.6597,0.0,0.863,0.137,Comedy film,,,2
19703899,-0.2286,0.055,0.884,0.061,Documentary,,60.0,2
12786966,0.9764,0.116,0.74,0.144,"Melodrama, Drama, Black-and-white, Film noir",,71.0,1
3523090,-0.8591,0.219,0.697,0.084,"Drama, World cinema",,98.0,0
20887118,-0.9997,0.157,0.762,0.081,"Science Fiction, Sci-Fi Adventure",,112.0,0
3723154,-0.4118,0.169,0.66,0.171,"Action/Adventure, Western, Spaghetti Western, World cinema",,98.0,0
2274938,-0.9969,0.172,0.78,0.049,"Cult, Horror, Slasher, Teen",22722776.0,86.0,0
14983036,0.9201,0.042,0.873,0.084,"Short Film, Silent film, Black-and-white, Pornographic movie",,10.0,2
3147170,-0.8779,0.104,0.841,0.055,"Parody, Comedy, Slapstick",2280148.0,103.0,3
7529479,0.968,0.094,0.674,0.233,Romance Film,,,1
29049575,-0.802,0.218,0.72,0.062,"Crime Fiction, Action, Drama, Indie",,120.0,0
8665259,0.0258,0.085,0.828,0.086,Comedy,,99.0,2
31844153,0.8019,0.082,0.801,0.117,"Drama, Docudrama",,88.0,1
9734319,0.9875,0.074,0.736,0.19,,,,1
10016740,-0.719,0.152,0.699,0.148,"Action, Drama",,,0
28983795,0.0,0.0,1.0,0.0,"Family Film, Drama",,116.0,2
22829,0.3071,0.06,0.872,0.068,"B-movie, Supernatural, Cult, Zombie Film, Horror, Sexploitation",,91.0,2
9141521,-0.9904,0.13,0.814,0.056,"Horror, Action, Drama, Slasher",,90.0,3
12333653,-0.9775,0.127,0.842,0.031,"Thriller, Crime Fiction, Indie, Martial Arts Film, Action, Adventure",7496681.0,106.0,3
34506820,0.128,0.126,0.745,0.13,"Comedy film, Fantasy, Science Fiction",,80.0,1
11627124,0.4975,0.109,0.786,0.104,Romance Film,,,1
1307956,0.9744,0.061,0.805,0.133,"LGBT, Romantic comedy, Comedy of manners, Comedy-drama, Period piece, Drama, Comedy, Romantic drama, Romance Film",2153070.0,109.0,1
34410222,0.0,0.0,1.0,0.0,Drama,,78.0,2
6009073,0.9118,0.056,0.79,0.153,"Drama, Comedy-drama, Television movie",,111.0,1
3177319,-0.823,0.065,0.88,0.055,"Buddy film, Comedy of manners, Black-and-white, Satire, Comedy, Slapstick",,63.0,3
22457596,-0.999,0.159,0.757,0.084,"Sex comedy, Coming of age, Comedy, Teen",,93.0,0
27972540,-0.5647,0.09,0.835,0.076,"Crime Fiction, Thriller, Drama",,125.0,3
2906378,0.979,0.102,0.713,0.186,"Parody, Romantic comedy, World cinema, Action Comedy, Action/Adventure, Comedy, Action",,91.0,1
1871096,-0.9989,0.207,0.745,0.048,"Crime Fiction, Drama, Coming of age, Thriller",9190819.0,123.0,0
16898363,-0.944,0.101,0.838,0.061,Psychological thriller,,88.0,3
35295429,-0.9838,0.246,0.701,0.052,,,150.0,0
33743642,-0.9156,0.114,0.809,0.077,"Drama, Political drama",,97.0,3
17938594,-0.6808,0.103,0.897,0.0,"Thriller, Crime",,97.0,3
797330,-0.9659,0.129,0.763,0.108,"Cult, Satire, Indie, Comedy, Absurdism",8571374.0,90.0,0
26816029,-0.1779,0.023,0.977,0.0,"Short Film, Anime",,22.0,2
34171890,-0.6332,0.1,0.81,0.09,"Thriller, Horror",,74.0,3
8094606,-0.9217,0.227,0.737,0.036,"Thriller, World cinema, Action Thrillers, Drama, War film, The Netherlands in World War II",,144.0,0
3098782,0.9398,0.043,0.746,0.21,"Romantic comedy, Romance Film, Comedy",,83.0,1
8418734,0.0772,0.102,0.781,0.117,"Parody, Horror, Science Fiction, B-movie, Comedy",,94.0,1
7171361,0.7184,0.106,0.754,0.139,Drama,2049769.0,102.0,1
8956466,0.9153,0.0,0.818,0.182,"Sports, Drama, Indie, World cinema",,90.0,1
7977406,0.5106,0.05,0.886,0.064,"Short Film, Comedy, Black-and-white",,19.0,2
16179846,0.8198,0.052,0.862,0.086,Drama,,,2
19203309,0.743,0.072,0.774,0.154,"Docudrama, Spy",,90.0,1
